4 épices;U
abricots;U
abricots secs;KG
agar;KG
ail;U
ail moulu;KG
amande effilée;U
amande entière;KG
amande mondée;KG
amande en poudre;KG
amande purée;KG
ananas en boite petite;U
asatoefida;KG
aubergines;KG
badiane;U
banane;KG
basilic frais;U
basilic frais;U
basilic thaï;U
batavia;KG
betterave cuite;KG
beurre;KG
bicarbonate de soude;KG
Blanc de poulet ou dinde;KG
blettes;KG
bœuf haché;KG
bouillon de légume;KG
basilic frais;KG
coriandre frais;L
Bouquet persil plat;U
brugnon;KG
cacao poudre;KG
cacahuète;KG
cannelle;KG
câpres;KG
cardamome;KG
carotte;KG
céleri boule;KG
céleri branche;KG
champignons paris;KG
chocolat noir pâtissier;KG
chou rouge;KG
chou chinois;KG
choux fleur;KG
ciboulette;U
citron;KG
concentré de tomate;KG
concombre;KG
concombre libanais;KG
Confiture abricot;KG
comté;KG
coquillette sans gluten;KG
coriandre frais;U
coriandre moulu;KG
cornichons;KG
courgettes;KG
crème de riz;L
crème de soja;L
crème soja caramel;L
crème soja chocolat;L
crème soja vanille;L
cumin;KG
cumin poudre;KG
curcuma;KG
curry;KG
eau;L
eau de fleur d’oranger;L
eau de rose;L
échalote;KG
escalope de poulet;KG
farine de châtaigne;KG
farine de riz;KG
farine de sarrazin;KG
fenouil;U
fenugrec;KG
feuilles de curry;U
fleur d'oranger;L
fromage;KG
fromage de chèvre buche;KG
fromage râpé;KG
fruits de saison;KG
garam masala;U
gingembre frais;U
gingembre frais;U
graine de moutarde;U
graine de sésame;U
graines de cumin;U
graines de fenouil;U
graines de moutardes;U
graines de sésame complet;U
graines de tournesol;U
graines mélangées;U
gruyère râpé;KG
haricots secs;KG
haricots rouges secs;KG
haricots secs;KG
haricots verts;KG
haricots verts congelés;KG
huile de colza;L
huile de noisette;L
huile de noix;L
huile de sésame;L
huile de tournesol;L
huile d'olive;L
jus de citron;L
jus de fruit rouge;L
jus d'orange;L
kiwi;KG
lait d'amande;L
lait de coco;L
lait de riz;L
lait de soja;L
laitue;U
laitue/feuille de chêne;U
laurier;U
lavande;U
lentilles;KG
lentilles corail;KG
levure maltée en paillette;KG
macaronis sans gluten;KG
mais doux;KG
maïzena;KG
margarine végétal sans lactose;KG
melon;KG
menthe;U
miel;KG
millet;KG
miso de riz;L
moutarde;KG
muscade;KG
navet;KG
nectarine;KG
noisettes;KG
noix de cajou salée;KG
noix de coco râpée;KG
nouilles de riz;KG
œuf;U
oignon rouge;KG
oignons;KG
olives noires dénoyautées;KG
olives noires dénoyautées;KG
olives vertes;KG
orange à manger;KG
orange à jus;KG
origan;KG
paprika;KG
parmesan;KG
pastèque;KG
pâtes de sarrasin;KG
pomme de terre;KG
pèche;KG
perle japon;KG
persil;U
persil plat;U
petits pois surgelés;KG
pilons de poulet;KG
piment de Cayenne;gr
poireau;KG
poires;KG
pois chiche sec;KG
poisson (filets surgelés de Colin);KG
poivron rouges;KG
poivron vert;KG
poivrons jaunes;KG
polenta instantanée;KG
pommes;KG
pomme de terre;KG
pommes vertes;KG
potimarron;KG
poudre amande;KG
poudre de gingembre;KG
pruneaux dénoyautés;KG
prunes;KG
purée amande;KG
purée de marron naturelle;KG
purée de tomate;L
purée noix cajou;KG
quinoa;KG
radis;U
raisin;KG
raisins secs;KG
raz el hanout;KG
reine claude;KG
riz basmati;KG
riz long précuit;KG
riz rond blanc;KG
riz rond complet;KG
Salade lolo rossa;KG
salade verte;U
safran;U
sarrasin;KG
sauce poisson nuoc nam;L
sauce thaïlandaise;L
sauge;U
scarole;U
sel;KG
semoule de couscous grosse;KG
semoule de riz;KG
sésame complet;KG
shiitake ou champ paris;KG
shiitake;KG
soja texturé petit;KG
spaghetti sans gluten;KG
spigol;KG
sucre de canne;L
sucre roux complet;KG
tahin;KG
tamari;L
tapioca;KG
thon;KG
thym séché;U
tofu fumé;KG
tomates;KG
tomates concassées;KG
tome de brebis;KG
vanille;KG
vermicelle de riz;KG
vin de riz;L
vinaigre balsamique;L
vinaigre de cidre;L
vinaigre de framboise;L
wakamé;KG
yaourt nature;U
yaourt de brebis;U
yaourt de soja;U